MSOA,love,day,new,park,road
E02000001,0.3032708738440918,0.30367024887249894,0.24652331298951075,0.0137239782489006,0.011291421257693349
E02000002,0.2635340144882621,0.09882525543309828,0.03294175181103276,0.0,0.01647087590551638
E02000003,0.07619525088430883,0.14477097668018676,0.09905382614960147,0.008516975883606245,0.015239050176861765
E02000004,0.3233645274884813,0.2476834678635176,0.2820839495112284,0.02064028898862647,0.027585173189137807
E02000005,0.14211129350824234,0.29098979146925813,0.07443924898050788,0.03383602226386722,0.013534408905546889
E02000007,0.12430907292742996,0.12430907292742996,0.07910577368109178,0.12809839686481184,0.022601649623169084
E02000008,0.3095593199489398,0.1547796599744699,0.20637287996595988,0.17544760352081093,0.05848253450693698
E02000009,0.3754524106273418,0.39912958967591294,0.18941743238856884,0.04058944979755047,0.030672943703253682
E02000010,0.23244558035371243,0.23244558035371243,0.13946734821222745,0.0,0.1053937449631036
E02000011,0.06550884228465731,0.07146419158326252,0.0595534929860521,0.006873370441593989,0.1168472975070978
E02000012,0.2602415716591233,0.16932319737625162,0.06349619901609435,0.757066390281086,0.011829162348141969
E02000013,0.47747513207858533,0.2491174602149141,0.18683809516118557,0.092819756971345,0.0
E02000014,0.31537536269614747,0.25942166931457294,0.1882078777380235,0.011741635137307315,0.0821914459611512
E02000015,0.08911685577194495,0.08911685577194495,0.011139606971493118,0.16415222464792364,0.012627094203686434
E02000016,0.4322198747547417,0.19710480226869911,0.20609500825953272,0.02951081841606915,0.019628096024717403
E02000017,0.25880070806984307,0.09381084911752072,0.18762169823504143,0.14788611889705316,0.06254056607834714
E02000018,0.2714314932346182,0.33043833958996993,0.29503423177675886,0.2860317257090657,0.02724111673419673
E02000019,0.2512422763781896,0.1992611157482193,0.11262584803160222,0.009683943254318372,0.029051829762955117
E02000020,0.045871132942014455,0.06307280779526987,0.06593975360414578,0.0,0.00860083742662771
E02000021,0.19276429034583,0.1445732177593725,0.096382145172915,0.096382145172915,0.07228660887968626
E02000022,0.555079841490013,0.23286276277142007,0.2545244151222498,0.025611038530162486,0.008123119631561166
E02000023,0.43159693311564523,0.2967228915170061,0.2023110623979587,0.06598812568842397,0.053949616639455654
E02000024,0.2724481138668555,0.3275499795927364,0.31836633530508957,0.012244859050195754,0.007238680407474995
E02000025,0.1373335389470348,0.1716669236837935,0.2060003084205522,0.1716669236837935,0.04421048401211378
E02000026,0.1557535606908404,0.3398259505981972,0.18407238990735683,0.028318829216516433,0.016342097996077234
E02000027,0.13627663995223294,0.2384841199164076,0.07949470663880254,0.011356386662686077,0.0
E02000028,0.18933984056739114,0.2721760208156248,0.449682121347554,0.047334960141847786,0.0
E02000029,0.14887726600082657,0.1439960441647339,0.13179298957450222,0.10006504763989983,0.003142730924998351
E02000030,0.38875536859320453,0.2802982548914772,0.10704857975754907,0.02112800916267416,0.01498806041110191
E02000031,0.2943270823844127,0.28180252568720365,0.25049113394418104,0.08767189688046335,0.035492445487480415
E02000032,0.06033110540083293,0.08044147386777724,0.04022073693388862,0.3820970008719419,0.0
E02000033,0.3466913261871401,0.4222856755061406,0.31280420407862264,0.05995413911506934,0.02068344746230271
E02000034,0.1603135074526501,0.1603135074526501,0.3206270149053002,0.09160771854437148,0.09160771854437148
E02000035,0.32589496391749434,0.17352848728074374,0.15659887876554923,0.3343597681750916,0.004232402128798628
E02000036,0.2988934927736768,0.22856561212104698,0.07032788065262983,0.020292242816510753,0.12175345689906453
E02000037,0.474948253761391,0.21920688635141122,0.09133620264642135,0.054801721587852806,0.021083148075441486
E02000038,0.2517734935020742,0.18883012012655562,0.11539618452178399,0.3094715857629662,0.015735843343879636
E02000039,0.20104214879745289,0.1884770144976121,0.2575852531467365,0.07251029147141033,0.007251029147141034
E02000040,0.23703310167818056,0.13544748667324602,0.14834724730879328,0.011287290556103835,0.00967482047666043
E02000041,0.3072540193545212,0.22880618462570723,0.22226886506497276,0.022230770837132704,0.019219766959637685
E02000042,0.2749816959699221,0.31966622156503444,0.17873810238044938,0.006874542399248053,0.006874542399248053
E02000043,0.03935195799475613,0.12435218726342938,0.47851980921623455,0.015740783197902453,0.012592626558321962
E02000044,0.45497376826267677,0.22748688413133838,0.09099475365253536,0.0,0.0
E02000045,0.3767697346815643,0.3767697346815643,0.22419356113283162,0.01392220885209286,0.012455197840712869
E02000046,0.3114946312610995,0.28274128068315185,0.17252010346768587,0.3690013324169948,0.004792225096324608
E02000047,0.1793251670125526,0.1966792154331222,0.07520087648913495,0.03619228529624037,0.016260339693020123
E02000048,0.10769017557471225,0.211072744126436,0.1292282106896547,0.61876914050937,0.005437769171189865
E02000049,0.07690394902554391,0.24993783433301772,0.07690394902554391,0.5455511804129041,0.0
E02000050,0.23806270863196163,0.30449881336646256,0.35986223397854666,0.025102470106749156,0.049827078550875696
E02000051,0.4217042073847262,0.16291135067282322,0.3686941094174421,0.09431709775795029,0.03218736688857379
E02000052,0.3530033606769706,0.2233286567548181,0.3097784593695864,0.017035244202003825,0.028816600871589434
E02000053,0.1136697212778052,0.13196140056388878,0.09015184790998343,0.03135716449042902,0.008886082583398057
E02000054,0.1619088096884278,0.17843011679949186,0.07269375128868187,0.052868182755404995,0.013217045688851249
E02000055,0.29065726496073857,0.29065726496073857,0.18955908584395995,0.018955908584395994,0.02148711745613353
E02000056,0.31151004653901404,0.29243800287336014,0.2733659592077062,0.0063573478885513065,0.01907204366565392
E02000057,0.29415365261867693,0.35289124719624015,0.2744709700415201,0.17644562359812008,0.0
E02000058,0.11836005033619786,0.09444167215241678,0.10010817248156179,0.011333000658290012,0.022332084969093936
E02000059,0.04397394996268002,0.1978827748320601,0.10993487490670005,0.08794789992536003,0.02198697498134001
E02000060,0.0,0.04256876231311563,0.08513752462623125,0.021284381156557813,0.0
E02000061,0.19005331037133255,0.14573743943562587,0.1589862975661373,0.2892667358494998,0.02468224810017306
E02000062,0.07649957659587374,0.08170294806424871,0.061936105790640156,0.009224526394350662,0.006328924869265132
E02000063,0.19385687767667772,0.07026981663903573,0.08198145274554168,0.07026981663903573,0.01384691983404841
E02000064,0.14654013497470827,0.2758402540700391,0.2758402540700391,0.043100039698443615,0.3620403334669263
E02000065,0.28963277484480826,0.14674727258803616,0.11585310993792329,0.012949864091664461,0.00386177033126411
E02000066,0.005216371953129433,0.024777766777364804,0.0156491158593883,0.03781869666018839,0.01053583866288831
E02000067,0.247047922408841,0.22646059554143758,0.1441112880718239,0.06176198060221025,0.06903649416568923
E02000068,0.48468723742138864,0.30587058672223555,0.1552881440282119,0.12451316470925781,0.010668120373234937
E02000069,0.3168911947386395,0.08947516086738057,0.09693142427299561,0.03442260591424686,0.012908477217842574
E02000070,0.07395464723426921,0.055465985425701914,0.027732992712850957,0.03392143119536762,0.0
E02000071,0.11547411614364823,0.153965488191531,0.41859367102072487,0.007503968943146769,0.01929099378429491
E02000072,0.272286890168764,0.4324556490915663,0.2402531383842035,0.0,0.03787419527987266
E02000073,0.10181885230311057,0.02250930781709087,0.06109131138186634,0.1381350857402286,0.02490781451935273
E02000074,0.10594260335591109,0.04119990130507654,0.04708560149151604,0.0,0.0065789358213616915
E02000075,0.47268467709719336,0.20679954623002209,0.11817116927429834,0.0,0.038041724038794675
E02000077,0.14799643868632992,0.0,0.07399821934316496,0.0,0.08748968989379133
E02000078,0.2925608925242952,0.43884133878644277,0.22290353716136777,0.0,0.0
E02000079,0.22878160378628154,0.2677231533669252,0.22878160378628154,0.03370831194152008,0.019470774790321832
E02000080,0.24518149172986917,0.3557417415967986,0.20665297160088972,0.08085039581745422,0.07101508614784298
E02000081,0.1293646645275954,0.33634812777174805,0.060370176779544524,0.006338884211724078,0.004887963611278979
E02000082,0.08480228016980045,0.07671911468570287,0.12275058349712459,0.033920912067920174,0.0
E02000083,0.29801930382107533,0.4731056448159571,0.17136109969711832,0.03664987664303066,0.018626206488817208
E02000084,0.2693138393587461,0.24630090619311393,0.13354405257458485,0.527432243565052,0.07798261323891822
