MSOA,park,road,station,squar,garden
E02000001,0.027498598023755847,0.016406816782623557,0.09174610340257003,0.14863308986483417,0.05083106717862561
E02000002,0.0,0.0,0.0,0.005453556934623471,0.012724966180788099
E02000003,0.022846330045452497,0.2970022905908824,0.29592081241324125,0.07142916161698926,0.1020416594528418
E02000004,0.050230181177354206,0.0015408031035998224,0.001232642482879858,0.00554689117295936,0.002465284965759716
E02000005,0.08600344686148884,0.0,0.01490333079808279,0.2682599543654902,0.08196831938945534
E02000007,0.010567266234543734,0.021778778201957186,0.3517272679616085,0.035544440970738014,0.002881981700330109
E02000008,0.08984622306737439,0.10851962491418826,0.0036786313530233305,0.019471704323103092,0.28834369263482945
E02000009,0.0,0.08136165500183248,0.030741996700154373,0.4881699300109949,0.0
E02000010,0.024961133879699674,0.0017214575089448052,0.0,0.0017214575089448052,0.37563027953569317
E02000011,0.017254456011729383,0.2070534721407526,0.10753690753432973,0.21395525454544434,0.0034508912023458764
E02000012,0.49819274308756945,0.06560187841739806,0.0556286437809491,0.005057149434631736,0.4633403661701395
E02000013,0.39607346555768713,0.15185931932990607,0.4979209281296638,0.05061977310996869,0.0
E02000014,0.05087388236743991,0.03237428877927994,0.09074310369428695,0.010675659258151407,0.32026977774454224
E02000015,0.054378093103876514,0.03346344191007785,0.06163927560430308,0.04267334464913291,0.00948296547758509
E02000016,0.03724983595887592,0.19606844575700097,0.38604375448289585,0.07691849243456196,0.052460593290847804
E02000017,0.6857945511887154,0.032439023746771135,0.061788616660516445,0.009131751680275836,0.278518426248413
E02000018,0.7030438349983296,0.012899886880703294,0.011609898192632966,0.03224971720175823,0.0
E02000019,0.047287203696163384,0.375213681502166,0.06887484016615102,0.024130293826069227,0.005145318283310212
E02000020,0.005042291156988115,0.11261116917273457,0.01391727391818342,0.01176534603297227,0.014522372784191395
E02000021,0.10654200344758041,0.07990650258568531,0.1376167544531247,0.0,0.035224205782774895
E02000022,0.049787640217221076,0.21272900820085366,0.05886500029072213,0.04526149110656461,0.14483677154100677
E02000023,0.11745787729995344,0.5705096897426309,0.03355939351427241,0.06711878702854482,0.010261988940749553
E02000024,0.06753479870064599,0.07718262708645257,0.17366091094451827,0.12542176901548543,0.09647828385806571
E02000025,0.015822694701912658,0.027814631739151722,0.008494288734711005,0.006329077880765063,0.01932034300444072
E02000026,0.13286707781921647,0.09371305056160051,0.017038736465745545,0.16977459943566547,0.044289025939738824
E02000027,0.011659506365099215,0.011659506365099215,0.010202068069461813,0.014574382956374018,0.026233889321473233
E02000028,0.1531431281327483,0.11485734609956123,0.32442162670226943,0.0161203292771314,0.09067685218386413
E02000029,0.3147421056840301,0.26907910051072353,0.08288597292517823,0.039210295994306775,0.29248761336293705
E02000030,0.04557647927574134,0.009223811281995273,0.009766388416230287,0.01627731402705048,0.05697059909467668
E02000031,0.3110152358301573,0.1073415415697003,0.22844481923808013,0.14862674986573887,0.016514083318415432
E02000032,0.10608489740378972,0.0,0.0,0.1363948680905868,0.04546495603019559
E02000033,0.1463639729621691,0.17380854658290673,0.04740233088624728,0.08363655597838233,0.0487879909873897
E02000034,0.20029870053716595,0.17168460046042797,0.01907606671782533,0.36244526763868123,0.06676623351238865
E02000035,0.7394659100137772,0.08332010253676363,0.3714687904764045,0.21871526915900452,0.0034716709390318176
E02000036,0.07322475103808584,0.019970386646750687,0.1331359109783379,0.03328397774458448,0.019970386646750687
E02000037,0.28999322941139366,0.014795572929152737,0.14499661470569683,0.017754687514983287,0.10060989591823861
E02000038,0.624598079450346,0.07593897622496608,0.015187795244993215,0.1860504917511669,0.25439557035363636
