,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
0,E02000235,451,1.2483370288248337,21.03903559,14.46613088,20.335820899999998,29.21928817,14.93972445,28.31515499,21.82628062,26.68893838,25.83518931,18.67106774,300000.0,6.8046157491595265,13.304684934201061
1,E02000851,3395,1.146097201767305,17.56302521,19.84393758,27.58703481,20.50420168,14.50180072,23.88955582,43.82625671,18.49682772,14.9829185,24.90996399,181000.0,8.823206242242787,12.799399490815539
2,E02000850,825,1.184242424242424,20.69065865,16.16063634,22.23300029,27.5778446,13.33786012,19.92433796,25.43968293,24.20113946,25.68739163,23.51343486,247650.0,7.408530934203882,13.112918918580405
3,E02000855,514,1.0972762645914398,19.725182999999998,15.17914473,20.02054707,28.03390266,17.04122255,28.945678700000002,25.27182867,23.78912685,26.326194399999995,16.97701297,365000.0,6.935371392280933,13.50079981312645
4,E02000849,370,1.2054054054054053,20.58784235,17.36806947,23.74081496,25.71810287,12.58517034,22.47160989,29.91287512,23.03969022,22.26524685,19.34535738,250000.0,6.606652012343688,13.122363377408329
5,E02000847,1636,1.1295843520782396,17.95862696,15.74221414,20.07274381,26.83564446,19.39077063,23.59627188,27.85898538,23.96102035,23.35912869,16.92430098,274950.0,8.093156791128331,13.217491722499213
6,E02000834,1726,1.1853997682502897,15.52342646,20.57832373,36.17784542,19.65431025,8.066094141,49.53799326,35.68365889,23.20152454,15.17389233,29.79671703,425000.0,8.146709136121945,13.652991628467884
7,E02000838,718,1.1545961002785514,19.70588235,17.66884532,31.06753813,22.429193899999998,9.128540305,40.37037037,29.82910409,21.80217504,18.85033661,30.20697168,315000.0,7.2696172345512915,13.353475098370234
8,E02000857,2684,1.1982116244411325,14.851359900000002,18.10246679,30.51233397,19.86084756,16.67299178,37.43200506,46.47852148,19.43056943,15.35964036,26.18595825,205000.0,8.588210713355153,12.92391243868644
9,E02000848,1994,1.0165496489468404,21.71377868,16.33920649,21.016605399999996,27.0122956,13.91811383,17.23919381,21.17117117,24.56687457,28.82882883,17.74622893,274250.0,8.291045193958418,13.214942558700745
