MSOA,love,day,new,park,road
E02000001,0.23362420510031442,0.23345686566607907,0.19126469223309805,0.011364236922830746,0.009621069394787692
E02000002,0.2472481807984475,0.0925298042920331,0.031126679520824194,0.0,0.017092308584798696
E02000003,0.08729379380793346,0.16552143409005549,0.114292148587362,0.00938331925034939,0.019310831168710237
E02000004,0.30961209136126117,0.23666815591443258,0.27201546016279843,0.02124293077980796,0.02185893066582995
E02000005,0.1458879340194261,0.29811635734736674,0.07696308025193413,0.03733732567436385,0.015368011535191942
E02000007,0.15165421063025075,0.1513462776212856,0.09719624881052732,0.14819546436010061,0.030498563630561314
E02000008,0.3263158411982687,0.16282662937274642,0.21909707250414567,0.17538049274995504,0.06015538488070173
E02000009,0.3883962694194818,0.412051357615924,0.19734665720975642,0.04513427194416452,0.030962046662537625
E02000010,0.2576962401937529,0.25717298944910105,0.15572165437326735,0.0,0.11401334207428393
E02000011,0.0675156029301101,0.07350383223684438,0.06181603449542997,0.00659757885138734,0.11541120869265174
E02000012,0.23566413069035802,0.17104408437693258,0.06473091285508098,0.7369260400599387,0.011848364538365005
E02000013,0.49938965355075066,0.26002207602260174,0.1968085175787138,0.09335655556748686,0.0
E02000014,0.3588257393387364,0.2945637811595458,0.21566680241773614,0.012442138137623026,0.08962053607049755
E02000015,0.07588362381636919,0.07572954255139247,0.009553175403690321,0.13254841899496606,0.010491695515118681
E02000016,0.4147146222111408,0.23085353098358766,0.22038155710473536,0.024641212907111715,0.02305068705365156
E02000017,0.22957774689628613,0.0981906816821829,0.19818586480566397,0.14101485490601692,0.07255199313582097
E02000018,0.28377311013683776,0.3447614562080671,0.3106512382867761,0.2785068126013327,0.027293611313703343
E02000019,0.2618799490119542,0.20727616121447875,0.11823261045923003,0.00970682888941532,0.029964918948070324
E02000020,0.04667409889518287,0.06404657518024667,0.06757304221908937,0.0,0.009679765068332753
E02000021,0.2097412804901776,0.15698655151308938,0.10561937562528749,0.11272676492595926,0.0869967013111737
E02000022,0.543114959879732,0.22738071440317226,0.25081611370721985,0.022782480938067843,0.008791171691117039
E02000023,0.42666563504626426,0.29273701387557544,0.2014274348007265,0.057328529500059205,0.05899093512590685
E02000024,0.2527565142349922,0.3032587911528092,0.29746465261668126,0.012210837908358477,0.006282463139789719
E02000025,0.13533472813015274,0.16882491467155514,0.2044514477853705,0.18184124327591275,0.037422850642950936
E02000026,0.15357299765030266,0.3343880041205383,0.18279116679426324,0.03001409800015074,0.015442221555566625
E02000027,0.1338213388426716,0.23371182691162604,0.0786197830219649,0.011987186126434658,0.0
E02000028,0.18105883233300843,0.25974359052332785,0.43308486385883277,0.04865560175486661,0.0
E02000029,0.1541615844068541,0.14880434510156043,0.1374452597465516,0.11137899917095631,0.0027953354548326424
E02000030,0.3747788886054488,0.2696723280438454,0.10393679136522262,0.02189426751413205,0.01351749286945251
E02000031,0.280753614791744,0.2682608420868455,0.24064517945720584,0.08989357629813541,0.03303582111910657
E02000032,0.06206431416953663,0.08258439057854686,0.04167161940894211,0.4225201556548132,0.0
E02000033,0.35309908023170095,0.4292173124776205,0.3208602132157821,0.06563657418822472,0.02055562036012435
E02000034,0.14268839575773654,0.1423986677846886,0.2874142702606763,0.08764431089934632,0.09018580981416607
E02000035,0.3017927535061787,0.16036855281508863,0.14605266395749303,0.33282680643579676,0.004335165533014273
E02000036,0.28411120870667805,0.21682036427942708,0.06732697686713157,0.017964393960731625,0.11091193944327396
E02000037,0.4382601254269132,0.20186318803571363,0.08488252527273164,0.054356688341093216,0.018644305627882624
E02000038,0.21969358500591168,0.16443562382676016,0.10141180102646064,0.2902694127567248,0.015187454714106942
E02000039,0.12532826161536828,0.11725667183962116,0.16172329103275562,0.04209903700369908,0.004331981968499295
E02000040,0.13297665692297933,0.07583237061725474,0.0838176691253421,0.006806584492395789,0.006003395134097996
E02000041,0.3423271179651634,0.25440682690895644,0.2494089530329521,0.02348755579606863,0.016112430027595843
E02000042,0.2511214800912443,0.29133596100535886,0.16439435304654115,0.006748340619440042,0.006944028168182796
E02000043,0.03331938506141417,0.10507546755919321,0.40805643295660166,0.01432616975930573,0.011793278610058331
E02000044,0.42970507131617053,0.21441627881091932,0.08655459951301096,0.0,0.0
E02000045,0.34870122661076247,0.3479931907606938,0.20897304817430334,0.012390853444763138,0.012750161884300325
E02000046,0.28630988439016936,0.2593535922223809,0.15970376772209166,0.36457495792787226,0.004872037111433961
E02000047,0.18312716945111324,0.20044133053172533,0.07734355278060458,0.03174930459645373,0.013067986805697668
E02000048,0.10891189775386487,0.21303387542371258,0.13162738335966703,0.6228164604763702,0.004818622671884778
E02000049,0.07679650226865291,0.24908184407986753,0.07734479927713563,0.495297133962892,0.0
E02000050,0.22466057472014495,0.2867730732281606,0.34202782841014456,0.022464229406085286,0.05201019980775225
E02000051,0.3633197270880826,0.1565695036515601,0.3575974677472791,0.09763423149869623,0.027399659154164698
E02000052,0.3147056590409007,0.19869522818159743,0.27814202001558047,0.013807390010484675,0.028415550005194346
E02000053,0.1097306100211154,0.12712974789690168,0.087649069130182,0.032538153743340105,0.008370422777842997
E02000054,0.12038074900772673,0.1323951243987614,0.054434384715183935,0.042252661267535165,0.010869474681569801
E02000055,0.28188206888089806,0.28130970894916196,0.1851486500037944,0.019760776109283715,0.0203337966570226
E02000056,0.28200418835892144,0.26420107553789773,0.2492399241947237,0.006186323158484673,0.01909714018269146
E02000057,0.24495364467575323,0.3384779091210823,0.2656796347184609,0.18228720546298394,0.0
E02000058,0.08245510719321443,0.07762988921580605,0.08304380442905997,0.010033814450552988,0.017207956273538196
E02000059,0.045680615265233614,0.20514537466517613,0.11501689250721674,0.09820533118979081,0.02526326931702113
E02000060,0.0,0.03931327224250361,0.0793490250219421,0.02117215434620256,0.0
E02000061,0.14758427169589586,0.126243945149746,0.13898614975389623,0.26989433637764426,0.021200053362380115
E02000062,0.0693879964958738,0.08100604684972909,0.06197207140452038,0.009850984653840008,0.005792367023725991
E02000063,0.14663833290810263,0.06271739340437962,0.07384263664401611,0.067552877570614,0.011585294596739723
E02000064,0.1358442984999098,0.25518770339251634,0.2575325622461489,0.042947275939596595,0.37121830829081687
E02000065,0.28981504942191083,0.14654146802002568,0.1167536862375075,0.012461033086796273,0.004274125528978368
E02000066,0.0028476971006137384,0.013499095622558483,0.008604085634468604,0.02219243332985984,0.005512129910890335
E02000067,0.2504543413032492,0.22911697892687455,0.14714145098578127,0.06730412723426545,0.06925580401252455
E02000068,0.49409238346446516,0.31117275301479774,0.15943165367483758,0.09281465694835209,0.010611787213337514
E02000069,0.2897780073994375,0.08165353829918501,0.08927081925587148,0.02931633037514546,0.011312415639983005
E02000070,0.04907888817910375,0.03673442533261755,0.018535984596400174,0.01978331689521306,0.0
E02000071,0.11900333112744672,0.15834892739056552,0.4344670104371366,0.005329923808218417,0.016453440843776448
E02000072,0.27603430149429337,0.4375172362566501,0.24529859868747958,0.0,0.03591961972797952
E02000073,0.11682738181151352,0.0233180328959311,0.07059689019175402,0.12557921621917928,0.025844149367690247
E02000074,0.1419269428390157,0.055081740385689276,0.06352899810462638,0.0,0.008721274292692476
E02000075,0.4407566871463398,0.1924395082790045,0.11097587940311704,0.0,0.030469584379510722
E02000077,0.14770730053026074,0.0,0.07438093646059071,0.0,0.08168824547829942
E02000078,0.29593979486387606,0.44300833619967034,0.22708776329462024,0.0,0.0
E02000079,0.23865669136455606,0.27871203228364455,0.24036060685632946,0.032749157518397805,0.022465875698578244
E02000080,0.2934782787948084,0.3681949829800493,0.24912631915084635,0.09013242237500801,0.060284946305637174
E02000081,0.11392154901784957,0.29559460310351693,0.05354295536283196,0.004081856671585664,0.004200221847771471
E02000082,0.08630136586766332,0.08612613143692123,0.13906803821927027,0.03710656771129565,0.0
E02000083,0.30618443009670965,0.4850808249203175,0.17731301866773158,0.028798129457855908,0.021166581473616036
E02000084,0.29314043899041736,0.23935517918381652,0.14639670106313446,0.5520766113704264,0.07503018162004732
E02000085,0.021684478038014994,0.04328089565828972,0.021839296735319202,0.09323566834800237,0.0
E02000086,0.08965980340486936,0.17207259554976856,0.09377301394613924,0.011120359137520769,0.0038142753132922856
E02000087,0.1130024680584575,0.13246354400346663,0.13910020851311183,0.023136717811597523,0.003967938916721948
E02000088,0.03450321442180183,0.30989840257692275,0.06949910777276457,0.18543968703855454,0.0
E02000089,0.16224117647344236,0.13492645557564031,0.16339951505769082,0.0,0.0
E02000090,0.2534155873065297,0.24715327775760354,0.1740169605998645,0.0030954498791119956,0.025481690822577733
E02000091,0.30159249766924695,0.4118675269175635,0.15986618432531513,0.0938431866345399,0.017557170869668414
E02000092,0.36098091042163405,0.37896211948361785,0.17469678444019174,0.005039258476122017,0.020741545086886144
E02000093,0.08713419226581703,0.1478273535359071,0.122858814876211,0.0,0.009637762333765176
E02000094,0.06496840233389888,0.035119762363742694,0.049074188499103444,0.005819612461276657,0.008982553298198652
E02000095,0.15784709300121022,0.19503291523231034,0.21196541272933014,0.05655727254520042,0.05819731335702069
E02000096,0.2055960248976078,0.22383116001021838,0.03764798184606267,0.12054422328402217,0.1033664581661044
E02000097,0.3146455776212509,0.17793712522416075,0.1478829445608001,0.28184706082187183,0.023201602169619077
E02000098,0.13469442940340473,0.12408086135391287,0.041740336917189466,0.4566287622637219,0.16044342377777132
E02000099,0.19264867550748122,0.10486772916632738,0.29985544543081055,0.2823824654113626,0.038742794307461685
E02000100,0.06698188253095558,0.14973476268988883,0.09174574550746846,0.3081585645831574,0.005927000161150566
E02000101,0.22855147043765053,0.3421310969724228,0.25231624231358674,0.24567283866385953,0.17987466702389948
E02000102,0.10434077720160691,0.07809668538684707,0.07881429717508841,0.05607860425143279,0.11540952939824696
E02000103,0.1476604149370167,0.19089894783005135,0.2771500343594657,0.6493173945329357,0.014847693782968997
E02000104,0.014472121685980225,0.019256981500681458,0.0,0.46668794682554726,0.00533578784813901
E02000105,0.15148524992244933,0.2093229138284818,0.18777451740963697,0.08767951920791796,0.10311090181591548
E02000106,0.025598686677742483,0.0894134804170079,0.05156290258954806,0.006879087246895825,0.028314264680845556
E02000107,0.12935709332848003,0.1787461400615716,0.10021588647122245,0.021391932321522592,0.03852144263777069
E02000108,0.2803621460618933,0.26230581780446693,0.229420605536403,0.018835298933163852,0.0
E02000109,0.03730540027171735,0.06463067564531985,0.02220490203254796,0.018004918894408497,0.0017743029006319364
E02000110,0.029659513817108234,0.06413179574449748,0.03484981634475279,0.026567819125111587,0.021870583573153274
E02000111,0.15016446514757123,0.16484551276413487,0.08696103392171593,0.04842409941436987,0.2615985512444233
E02000112,0.2650017763715381,0.24455782250381464,0.17218953901462353,0.11945478963488856,0.16073987100690992
E02000113,0.09094874303508277,0.08727314628031907,0.13739712226635345,0.022560448433936304,0.21280099073155215
E02000114,0.20672049996388592,0.19120557796130389,0.13710494866745976,0.021678678538784798,0.10595974237667706
E02000115,0.2373471126447001,0.1326445011849291,0.143425006953776,0.05102547693124676,0.30452962301459074
