MSOA,park,road,station,hill,squar
E02000001,0.022813616864181426,0.01344655856377299,0.08000580445013802,0.027351089489553254,0.12495070612641966
E02000002,0.0,0.0,0.0,0.0,0.004633117560345075
E02000003,0.023234266115664325,0.2983840056566313,0.3541173769130912,0.1378239704324315,0.08240178528026185
E02000004,0.05425313034390285,0.0016440326177492115,0.0013994180315783824,0.0,0.006070847445905851
E02000005,0.0789598697631971,0.0,0.016599182356128367,0.0,0.2880371741306468
E02000007,0.012244190694189756,0.021992298602756914,0.37791157931254105,0.014526329067629436,0.04173291695259207
E02000008,0.07718274645881393,0.10461814439229483,0.0037733930526662202,0.0,0.021825923880982027
E02000009,0.0,0.09481194477852253,0.0336270561432372,0.0,0.5835132127610289
E02000010,0.029512702703064417,0.002010685791507632,0.0,0.0,0.002062436557609329
E02000011,0.01777164127489163,0.21067451976569967,0.10087221913747675,0.0042168031465476055,0.22330006057069351
E02000012,0.5023256442331089,0.08176621758628469,0.06600025902233247,0.0,0.005784186601807042
E02000013,0.3933202245855855,0.16652242297350509,0.5197340708469099,0.0,0.0569361183885299
E02000014,0.05966657189735351,0.03750936133633155,0.0969253995030613,0.0,0.010992792096730666
E02000015,0.06531131442563083,0.039704367975794914,0.06864970910671289,0.0,0.04581705799106177
E02000016,0.03531021520138398,0.20295085323816547,0.38464740571753225,0.019041601711930613,0.07388331632985348
E02000017,0.6382682491278483,0.035262721120932976,0.07146667350929702,0.0010082984443352452,0.008611978188849836
E02000018,0.7102544785304462,0.012874213495511107,0.012328500726012263,0.012368962102315468,0.033013920767426756
E02000019,0.04858715154964171,0.38085503379036006,0.07438556860462885,0.0,0.022476180932463077
E02000020,0.005099863062155097,0.11251626082623213,0.01369916569236094,0.0,0.012057989950831644
E02000021,0.06778976820955257,0.05022600558408001,0.09203751369922133,0.0,0.0
E02000022,0.03995383056499026,0.16864241957914985,0.04199607480123048,0.0,0.0368048757371648
E02000023,0.1035258561773967,0.4967443500554306,0.031090740332789843,0.0,0.05994464596678861
E02000024,0.06102443244756016,0.06889677988604245,0.16494094981824378,0.10047138173962021,0.11483880871659616
E02000025,0.013683666816540508,0.023762853202870096,0.007721458451277371,0.005639214560287128,0.005546283944830337
E02000026,0.11074194452895762,0.06685525557562405,0.01293361451429069,0.21167200870942596,0.14338611352706573
E02000027,0.01107920331320784,0.010944899054307346,0.010189828207644264,0.02793143572762197,0.014033246780953816
E02000028,0.14478140190641828,0.10726975018035236,0.32238537984690285,0.004520172140347833,0.015442897527502015
E02000029,0.31067504191822887,0.23147343840057874,0.07586636638971216,0.5013685347358395,0.0392185251657796
E02000030,0.047838120331567244,0.009564163030303845,0.010775008042596457,0.05472750294483921,0.017312336821432493
E02000031,0.2931647919368879,0.09995423592523936,0.226340222149394,0.006155865996208684,0.1419602467650478
E02000032,0.11245484358007038,0.0,0.0,0.03811850986299207,0.14650830795101283
E02000033,0.1350297772665248,0.1397449638364963,0.04055195385193616,0.0381422276760862,0.07818638253371354
E02000034,0.18905688945274032,0.1600843757509549,0.01892576687324694,0.0854454603091672,0.3466541689220414
E02000035,0.7119680148658822,0.07924928450927649,0.37593688167813133,0.007931159227324172,0.21338360441246348
E02000036,0.06651865260812523,0.017921536514926235,0.12712501910350354,0.31566703298062143,0.030637997769241917
E02000037,0.270834589178599,0.01365058569266452,0.1423391637931143,0.44918413990340517,0.01680230720338681
E02000038,0.6094266180232255,0.07319623464404387,0.015576353154226582,0.0,0.18394636674449344
E02000039,0.018081226271548238,0.01511403564638659,0.1125707425873651,0.5049306671472094,0.04228101465106052
E02000040,0.02929969289368857,0.009883493375461667,0.042815827723982576,0.47054156002019953,0.028965352646681642
E02000041,0.08497126043425011,0.13990203712894606,0.6942178354091861,0.010691827867613898,0.03391884773395726
E02000042,0.08798153603044218,0.12444648690441754,0.05464651722905295,0.0023722729492595806,0.2289585806993382
E02000043,0.08631688481004117,0.02487057263033508,0.19657945974891108,0.10240509186436646,0.06195452837237089
E02000044,0.01933341801840063,0.09231209705126944,0.19982953577991538,0.45109206888251,0.06530207837793243
E02000045,0.04118271296770283,0.18985627782680994,0.024048762031520482,0.26600776659445724,0.1530121793373829
E02000046,0.2520811510333554,0.07229768930075221,0.21368250442334535,0.043412718928314664,0.17921632112435074
E02000047,0.47647437336001003,0.2544315990650041,0.26395063546685715,0.05347264430208439,0.11091655357295326
E02000048,0.19152999803680804,0.03163418425404544,0.0022227768418031707,0.10107004241324838,0.009183503978000137
E02000049,0.07230307531511525,0.011277884741660079,0.0019999698575462097,0.0,0.011568153453883845
E02000050,0.005219091773908722,0.0920116448624472,0.008861783856466375,0.005239261312947834,0.014645145795565709
E02000051,0.5773056971343642,0.3269278577081391,0.007730124055304481,0.008724930574492758,0.16767114192730087
E02000052,0.0353945516337153,0.04774134483249174,0.13450585761009076,0.004037651853673717,0.08621497408173603
E02000053,0.006359072563428497,0.002880520706957805,0.0035539940361219327,0.0006624272935558076,0.006695131948043744
E02000054,0.13862254619633332,0.004681782451669393,0.01245369676683179,0.15462029173129951,0.05042395629428279
E02000055,0.0202203721021697,0.02621752457109183,0.06774692909988446,0.02398915423339608,0.07683516504499538
E02000056,0.07242875787138897,0.10732614355756835,0.21031178092292785,0.21052463105477906,0.11192329786775024
E02000057,0.3859650059540512,0.04616470449263586,0.029108064407541046,0.014373644548560799,0.012276674038518
E02000058,0.027190337342645334,0.0720355961863235,0.007794592986897652,0.024926805768132748,0.557303208457472
E02000059,0.11012479404338413,0.21185389866787557,0.091384606129973,0.009168452475098936,0.03523890266130627
E02000060,0.022096944017130946,0.06685155921819154,0.375977861948913,0.0016384682346448794,0.08816422608673474
E02000061,0.27857157491378676,0.0939925478107576,0.16702587325917398,0.2536884800033104,0.08017744048774743
E02000062,0.016114692028709125,0.029509032713694268,0.05907782089434034,0.013522654264483845,0.031065072635430676
E02000063,0.01404167896690722,0.32366747003611923,0.06887729734097581,0.13327074328046665,0.1090850508191914
E02000064,0.04226521158183813,0.0596469492299911,0.006346514614424679,0.10506116746237344,0.030591067276991377
E02000065,0.0011933186735642203,0.04288077905167578,0.458138656975408,0.0003539339628009613,0.006197120256777203
E02000066,0.04695244948863153,0.02495750239749418,0.0192900356475711,0.0025448391110365165,0.0019320645515009125
E02000067,0.031841855200509195,0.07025142521018246,0.6400103555147871,0.009654048648080386,0.0007170104193072708
