,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
0,E05000405,H,2577,28,0.01086534730306558,1.238649592549476,0.4060677143965852,0.7626459059310726,0.80466564009948
1,E05000414,C,994,19,0.019114688128772636,1.091549295774648,0.1656970824949698,0.7432062424231323,1.479764297474392
2,E05000401,F,556,11,0.019784172661870502,1.1151079136690647,0.27820827338129495,0.7391470149738255,1.5754604128289134
3,E05000400,H,479,7,0.014613778705636743,1.196242171189979,0.3324465553235908,0.7545768015714324,1.164801276155267
4,E05000402,F,1588,41,0.025818639798488665,1.1297229219143576,0.25537525188916876,0.7261689598290973,1.4067236947798163
5,E05000406,F,1387,18,0.012977649603460706,1.179524152847873,0.35762242249459264,0.7621105910396034,1.652746785783503
6,E05000404,A,197,2,0.01015228426395939,1.2690355329949239,0.4037959390862944,0.7767897929615905,0.8144442357333948
7,E05000413,F,566,10,0.0176678445229682,1.176678445229682,0.32889010600706714,0.7494802530306783,1.2725343648153402
8,E05000410,H,99,0,0.0,1.2323232323232323,0.3786737373737374,0.782895575742593,1.117462860446401
9,E05000412,D,1797,23,0.012799109627156371,1.2053422370617697,0.3433842515303283,0.7578733862048523,1.23916760738451
10,E05000408,F,9179,88,0.009587100991393397,1.1824817518248174,0.34275401459854016,0.7655241312066015,1.2663856042561386
11,E05000403,F,1523,23,0.015101772816808929,1.1864740643466842,0.3983101772816809,0.763181144801919,0.976416513447304
12,E05000409,G,3389,47,0.013868397757450576,1.2215992918264975,0.3685826792564178,0.7509471577715671,1.875903618716809
13,E05000407,H,144,1,0.006944444444444444,1.2361111111111112,0.34076805555555556,0.7746311459852889,1.1743548802359638
14,E05000411,H,257,4,0.01556420233463035,1.1828793774319066,0.38149727626459146,0.7520826759973679,1.0859839236730415
15,E05000415,F,414,3,0.007246376811594203,1.2270531400966185,0.35913091787439616,0.7714246649622798,0.9239088809656754
16,E05000150,H,299,1,0.0033444816053511705,1.2307692307692308,0.33863745819397995,0.7452883650787323,0.5847161491443458
17,E05000162,H,424,5,0.01179245283018868,1.2665094339622642,0.3847068396226415,0.7679507970261978,0.12693054534140227
18,E05000151,H,1331,12,0.009015777610818933,1.2712246431254697,0.3933386927122464,0.7789280011385945,0.7445004066120595
19,E05000167,A,9229,165,0.017878426698450536,1.177700725972478,0.3740607649799545,0.7407110800373213,1.4340691330908322
20,E05000156,H,474,6,0.012658227848101266,1.2320675105485233,0.45738565400843884,0.7665341494765138,1.048548943220102
21,E05000159,H,1873,37,0.019754404698344902,1.2509343299519486,0.4412216230646022,0.77477041742918,1.5067429868924416
22,E05000160,H,247,2,0.008097165991902834,1.2064777327935223,0.365234008097166,0.7744378451918097,0.5366645624845252
23,E05000155,A,694,8,0.011527377521613832,1.2708933717579252,0.45999740634005765,0.7825826201773731,0.9847544370464751
24,E05000153,F,10155,174,0.017134416543574595,1.1061546036435252,0.2320054849827671,0.7179364925022131,1.7775998182072326
25,E05000149,G,2192,25,0.011405109489051095,1.1423357664233578,0.29042887773722625,0.7421108687091216,1.0758588952044283
26,E05000168,C,735,26,0.03537414965986395,1.2326530612244897,0.31585673469387754,0.7290183294553096,0.7484722321082485
27,E05000148,C,749,19,0.025367156208277702,1.102803738317757,0.18845193591455273,0.6926067299725671,0.8487531331733926
28,E05000158,C,533,16,0.0300187617260788,1.151969981238274,0.26596604127579737,0.7298596697718589,0.9320152138148978
29,E05000157,A,612,1,0.0016339869281045752,1.2303921568627452,0.3623029411764706,0.8373057615430022,0.3179367802622418
30,E05000152,F,1562,45,0.02880921895006402,1.1798975672215108,0.19570089628681178,0.7448031782722144,1.6034715495582728
31,E05000154,A,40,0,0.0,1.175,0.34394,0.6868213069851019,0.43749495735702343
32,E05000163,H,241,3,0.012448132780082987,1.2655601659751037,0.3458008298755187,0.7982462334971743,1.1881878836279212
33,E05000161,G,1888,26,0.013771186440677966,1.1822033898305084,0.32976959745762713,0.7538263236882283,1.0772960644022005
